ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
109,96627,1182,1,1,3,49059,26,2300,9,6738,1
389,28193,0,5,1,4,103456,32,0,0,6980,1
861,25629,0,4,1,5,107308,36,600,2,5966,1
915,15835,0,2,1,5,112171,16,0,0,5825,1
1047,154664,0,4,1,3,73881,33,0,0,5769,0
1257,166465,0,4,1,4,98717,30,0,0,5531,0
1313,737514,0,3,1,4,43993,40,2150,7,5030,0
1895,128302,0,5,1,4,132263,32,400,2,4103,1
1934,82981,0,5,1,3,105325,44,1000,2,3964,1
1963,126873,0,4,1,5,95598,32,500,1,3880,1
2269,125679,0,3,1,4,68151,27,650,1,3683,0
2301,128456,0,5,1,3,70125,28,0,0,3764,0
2382,108081,0,5,1,5,217006,24,0,0,3567,1
2977,61474,0,1,1,4,47717,14,0,0,3354,0
3361,84148,0,1,1,5,84148,7,0,0,1054,0
